t-4,t-3,t-2,t-1,Y
30.0,41.0,50.0,39.0,42.0
41.0,50.0,39.0,42.0,50.0
50.0,39.0,42.0,50.0,44.0
39.0,42.0,50.0,44.0,32.0
42.0,50.0,44.0,32.0,33.0
50.0,44.0,32.0,33.0,34.0
44.0,32.0,33.0,34.0,44.0
32.0,33.0,34.0,44.0,39.0
33.0,34.0,44.0,39.0,33.0
34.0,44.0,39.0,33.0,48.0
44.0,39.0,33.0,48.0,35.0
39.0,33.0,48.0,35.0,21.0
33.0,48.0,35.0,21.0,26.0
48.0,35.0,21.0,26.0,36.0
35.0,21.0,26.0,36.0,29.0
21.0,26.0,36.0,29.0,32.0
26.0,36.0,29.0,32.0,26.0
36.0,29.0,32.0,26.0,22.0
29.0,32.0,26.0,22.0,31.0
32.0,26.0,22.0,31.0,29.0
26.0,22.0,31.0,29.0,23.0
22.0,31.0,29.0,23.0,29.0
31.0,29.0,23.0,29.0,32.0
29.0,23.0,29.0,32.0,25.0
23.0,29.0,32.0,25.0,26.0
29.0,32.0,25.0,26.0,22.0
32.0,25.0,26.0,22.0,33.0
25.0,26.0,22.0,33.0,35.0
26.0,22.0,33.0,35.0,25.0
22.0,33.0,35.0,25.0,29.0
32.0,31.0,26.0,21.0,27.0
31.0,26.0,21.0,27.0,26.0
26.0,21.0,27.0,26.0,26.0
21.0,27.0,26.0,26.0,23.0
27.0,26.0,26.0,23.0,23.0
26.0,26.0,23.0,23.0,18.0
26.0,23.0,23.0,18.0,20.0
23.0,23.0,18.0,20.0,19.0
23.0,18.0,20.0,19.0,20.0
18.0,20.0,19.0,20.0,20.0
20.0,19.0,20.0,20.0,18.0
19.0,20.0,20.0,18.0,22.0
20.0,20.0,18.0,22.0,21.0
20.0,18.0,22.0,21.0,19.0
18.0,22.0,21.0,19.0,18.0
22.0,21.0,19.0,18.0,17.0
21.0,19.0,18.0,17.0,11.0
19.0,18.0,17.0,11.0,10.0
18.0,17.0,11.0,10.0,15.0
17.0,11.0,10.0,15.0,16.0
11.0,10.0,15.0,16.0,15.0
10.0,15.0,16.0,15.0,24.0
15.0,16.0,15.0,24.0,23.0
16.0,15.0,24.0,23.0,26.33333333333333
15.0,24.0,23.0,26.33333333333333,26.0
24.0,23.0,26.33333333333333,26.0,36.0
23.0,26.33333333333333,26.0,36.0,20.0
26.33333333333333,26.0,36.0,20.0,26.0
26.0,36.0,20.0,26.0,33.0
36.0,20.0,26.0,33.0,29.0
20.0,26.0,33.0,29.0,22.0
26.0,33.0,29.0,22.0,34.0
33.0,29.0,22.0,34.0,27.0
29.0,22.0,34.0,27.0,23.0
22.0,34.0,27.0,23.0,38.0
34.0,27.0,23.0,38.0,34.0
27.0,23.0,38.0,34.0,43.0
23.0,38.0,34.0,43.0,39.0
38.0,34.0,43.0,39.0,50.0
34.0,43.0,39.0,50.0,48.0
43.0,39.0,50.0,48.0,49.0
39.0,50.0,48.0,49.0,38.0
50.0,48.0,49.0,38.0,50.0
48.0,49.0,38.0,50.0,50.0
49.0,38.0,50.0,50.0,41.0
38.0,50.0,50.0,41.0,37.0
50.0,50.0,41.0,37.0,47.0
50.0,41.0,37.0,47.0,30.0
41.0,37.0,47.0,30.0,30.0
37.0,47.0,30.0,30.0,39.0
47.0,30.0,30.0,39.0,38.0
30.0,30.0,39.0,38.0,40.0
30.0,39.0,38.0,40.0,34.0
39.0,38.0,40.0,34.0,32.0
38.0,40.0,34.0,32.0,39.0
40.0,34.0,32.0,39.0,35.0
34.0,32.0,39.0,35.0,46.0
32.0,39.0,35.0,46.0,49.0
39.0,35.0,46.0,49.0,40.0
35.0,46.0,49.0,40.0,36.0
46.0,49.0,40.0,36.0,44.0
49.0,40.0,36.0,44.0,44.0
40.0,36.0,44.0,44.0,34.0
36.0,44.0,44.0,34.0,55.0
44.0,44.0,34.0,55.0,31.0
44.0,34.0,55.0,31.0,45.0
34.0,55.0,31.0,45.0,42.0
55.0,31.0,45.0,42.0,42.0
31.0,45.0,42.0,42.0,52.0
45.0,42.0,42.0,52.0,34.0
42.0,42.0,52.0,34.0,32.0
42.0,52.0,34.0,32.0,38.0
52.0,34.0,32.0,38.0,51.0
34.0,32.0,38.0,51.0,39.0
32.0,38.0,51.0,39.0,54.0
38.0,51.0,39.0,54.0,59.0
51.0,39.0,54.0,59.0,41.0
39.0,54.0,59.0,41.0,47.0
54.0,59.0,41.0,47.0,34.0
59.0,41.0,47.0,34.0,32.0
41.0,47.0,34.0,32.0,32.0
47.0,34.0,32.0,32.0,31.0
34.0,32.0,32.0,31.0,37.0
32.0,32.0,31.0,37.0,33.0
32.0,31.0,37.0,33.0,33.0
31.0,37.0,33.0,33.0,33.0
37.0,33.0,33.0,33.0,40.0
33.0,33.0,33.0,40.0,45.0
33.0,33.0,40.0,45.0,30.0
33.0,40.0,45.0,30.0,43.0
40.0,45.0,30.0,43.0,34.0
45.0,30.0,43.0,34.0,35.0
17.0,21.0,12.0,20.0,15.0
21.0,12.0,20.0,15.0,13.0
12.0,20.0,15.0,13.0,15.0
20.0,15.0,13.0,15.0,11.0
15.0,13.0,15.0,11.0,11.0
13.0,15.0,11.0,11.0,8.0
15.0,11.0,11.0,8.0,8.0
11.0,11.0,8.0,8.0,7.0
11.0,8.0,8.0,7.0,10.0
8.0,8.0,7.0,10.0,10.0
8.0,7.0,10.0,10.0,7.0
7.0,10.0,10.0,7.0,11.0
10.0,10.0,7.0,11.0,8.0
10.0,7.0,11.0,8.0,11.0
7.0,11.0,8.0,11.0,8.0
11.0,8.0,11.0,8.0,10.0
8.0,11.0,8.0,10.0,13.0
11.0,8.0,10.0,13.0,7.0
8.0,10.0,13.0,7.0,15.0
10.0,13.0,7.0,15.0,18.0
13.0,7.0,15.0,18.0,23.0
7.0,15.0,18.0,23.0,11.0
15.0,18.0,23.0,11.0,24.0
18.0,23.0,11.0,24.0,26.0
23.0,11.0,24.0,26.0,27.0
11.0,24.0,26.0,27.0,24.0
24.0,26.0,27.0,24.0,30.0
26.0,27.0,24.0,30.0,36.0
27.0,24.0,30.0,36.0,41.0
24.0,30.0,36.0,41.0,38.0
30.0,36.0,41.0,38.0,43.0
36.0,41.0,38.0,43.0,36.0
41.0,38.0,43.0,36.0,59.0
38.0,43.0,36.0,59.0,48.0
43.0,36.0,59.0,48.0,59.0
36.0,59.0,48.0,59.0,50.0
59.0,48.0,59.0,50.0,61.0
48.0,59.0,50.0,61.0,61.0
59.0,50.0,61.0,61.0,50.0
50.0,61.0,61.0,50.0,45.0
61.0,61.0,50.0,45.0,55.0
61.0,50.0,45.0,55.0,59.0
50.0,45.0,55.0,59.0,39.0
45.0,55.0,59.0,39.0,51.0
55.0,59.0,39.0,51.0,72.0
59.0,39.0,51.0,72.0,68.0
39.0,51.0,72.0,68.0,68.0
51.0,72.0,68.0,68.0,60.0
72.0,68.0,68.0,60.0,60.0
68.0,68.0,60.0,60.0,57.0
68.0,60.0,60.0,57.0,52.0
60.0,60.0,57.0,52.0,49.0
60.0,57.0,52.0,49.0,55.0
57.0,52.0,49.0,55.0,51.0
52.0,49.0,55.0,51.0,53.0
49.0,55.0,51.0,53.0,58.0
55.0,51.0,53.0,58.0,63.0
51.0,53.0,58.0,63.0,51.0
53.0,58.0,63.0,51.0,70.0
58.0,63.0,51.0,70.0,55.0
63.0,51.0,70.0,55.0,57.0
51.0,70.0,55.0,57.0,62.0
70.0,55.0,57.0,62.0,60.0
55.0,57.0,62.0,60.0,65.0
57.0,62.0,60.0,65.0,51.0
62.0,60.0,65.0,51.0,48.0
60.0,65.0,51.0,48.0,65.0
65.0,51.0,48.0,65.0,49.0
51.0,48.0,65.0,49.0,64.0
48.0,65.0,49.0,64.0,63.0
65.0,49.0,64.0,63.0,55.0
49.0,64.0,63.0,55.0,56.0
64.0,63.0,55.0,56.0,57.0
63.0,55.0,56.0,57.0,51.0
55.0,56.0,57.0,51.0,63.0
56.0,57.0,51.0,63.0,51.0
57.0,51.0,63.0,51.0,41.0
51.0,63.0,51.0,41.0,45.0
63.0,51.0,41.0,45.0,41.0
51.0,41.0,45.0,41.0,40.0
41.0,45.0,41.0,40.0,34.0
45.0,41.0,40.0,34.0,35.0
41.0,40.0,34.0,35.0,32.0
40.0,34.0,35.0,32.0,32.0
34.0,35.0,32.0,32.0,27.0
35.0,32.0,32.0,27.0,22.0
32.0,32.0,27.0,22.0,35.0
32.0,27.0,22.0,35.0,30.0
27.0,22.0,35.0,30.0,31.0
22.0,35.0,30.0,31.0,22.0
35.0,30.0,31.0,22.0,24.0
30.0,31.0,22.0,24.0,25.0
29.0,22.0,23.0,17.0,30.0
22.0,23.0,17.0,30.0,14.0
23.0,17.0,30.0,14.0,9.0
17.0,30.0,14.0,9.0,19.0
30.0,14.0,9.0,19.0,12.0
14.0,9.0,19.0,12.0,17.0
9.0,19.0,12.0,17.0,16.0
19.0,12.0,17.0,16.0,10.0
12.0,17.0,16.0,10.0,13.0
17.0,16.0,10.0,13.0,16.0
16.0,10.0,13.0,16.0,12.0
10.0,13.0,16.0,12.0,17.0
13.0,16.0,12.0,17.0,17.0
16.0,12.0,17.0,17.0,18.0
12.0,17.0,17.0,18.0,21.0
17.0,17.0,18.0,21.0,19.0
17.0,18.0,21.0,19.0,19.0
18.0,21.0,19.0,19.0,11.0
21.0,19.0,19.0,11.0,8.0
19.0,19.0,11.0,8.0,11.0
19.0,11.0,8.0,11.0,18.0
11.0,8.0,11.0,18.0,17.0
8.0,11.0,18.0,17.0,16.0
11.0,18.0,17.0,16.0,17.0
18.0,17.0,16.0,17.0,23.0
17.0,16.0,17.0,23.0,16.0
16.0,17.0,23.0,16.0,20.0
17.0,23.0,16.0,20.0,25.0
23.0,16.0,20.0,25.0,27.0
16.0,20.0,25.0,27.0,21.0
20.0,25.0,27.0,21.0,28.0
25.0,27.0,21.0,28.0,26.0
27.0,21.0,28.0,26.0,27.0
21.0,28.0,26.0,27.0,37.0
28.0,26.0,27.0,37.0,25.0
26.0,27.0,37.0,25.0,29.0
27.0,37.0,25.0,29.0,37.0
37.0,25.0,29.0,37.0,37.0
25.0,29.0,37.0,37.0,36.0
29.0,37.0,37.0,36.0,39.0
37.0,37.0,36.0,39.0,41.0
37.0,36.0,39.0,41.0,35.0
36.0,39.0,41.0,35.0,42.0
39.0,41.0,35.0,42.0,38.0
41.0,35.0,42.0,38.0,42.0
35.0,42.0,38.0,42.0,43.0
